date,text,date_frm
Wed Jan 1,National Bloody Mary Day,2020-01-01
Wed Jan 1,National Hangover Day,2020-01-01
Wed Jan 1,New Year's Day,2020-01-01
Thu Jan 2,Happy Mew Year for Cats Day,2020-01-02
Thu Jan 2,National Buffet Day,2020-01-02
Thu Jan 2,National Science Fiction Day,2020-01-02
Fri Jan 3,JRR Tolkien Day,2020-01-03
Sat Jan 4,National Spaghetti Day,2020-01-04
Sat Jan 4,National Trivia Day,2020-01-04
Sun Jan 5,National Bird Day,2020-01-05
Sun Jan 5,National Whipped Cream Day,2020-01-05
Mon Jan 6,National Bean Day,2020-01-06
Mon Jan 6,National Cuddle Up Day,2020-01-06
Mon Jan 6,Three Kings Day,2020-01-06
Tue Jan 7,National Bobblehead Day,2020-01-07
Wed Jan 8,Elvis Presley’s Birthday,2020-01-08
Wed Jan 8,National Bubble Bath Day,2020-01-08
Thu Jan 9,National Law Enforcement Appreciation Day,2020-01-09
Fri Jan 10,National Cut Your Energy Costs Day,2020-01-10
Fri Jan 10,National Houseplant Appreciation Day,2020-01-10
Sat Jan 11,National Girl Hug Boy Day,2020-01-11
Sat Jan 11,National Hot Toddy Day,2020-01-11
Sat Jan 11,National Milk Day,2020-01-11
Sun Jan 12,Kiss a Ginger Day,2020-01-12
Sun Jan 12,National Pharmacist Day,2020-01-12
Sun Jan 12,National Youth Day,2020-01-12
Mon Jan 13,National Clean Your Desk Day,2020-01-13
Mon Jan 13,National Gluten-Free Day ,2020-01-13
Mon Jan 13,National Rubber Ducky Day,2020-01-13
Mon Jan 13,National Sticker Day,2020-01-13
Tue Jan 14,National Dress Up Your Pet Day,2020-01-14
Tue Jan 14,National Hot Pastrami Sandwich Day,2020-01-14
Wed Jan 15,Martin Luther King's Birthday,2020-01-15
Wed Jan 15,National Bagel Day,2020-01-15
Wed Jan 15,National Hat Day,2020-01-15
Thu Jan 16,National Fig Newton Day,2020-01-16
Fri Jan 17,Michelle Obama’s Birthday,2020-01-17
Fri Jan 17,National Hot Buttered Rum Day,2020-01-17
Sat Jan 18,National Thesaurus Day,2020-01-18
Sat Jan 18,National Winnie the Pooh Day,2020-01-18
Sun Jan 19,National Popcorn Day,2020-01-19
Mon Jan 20,"Martin Luther King, Jr. Day",2020-01-20
Mon Jan 20,National Cheese Lover's Day,2020-01-20
